host_response_rate,host_is_superhost,host_listings_count,zipcode,room_type,bathrooms,accommodates,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month
100%,t,1,28804,Private room,1,2,2,Real Bed,55.00,150.00,0.00,1.00,20.00,2,10,116,96.00,10.00,10.00,10.00,10.00,9.00,10.00,moderate,1.2
100%,t,12,28801,Entire home/apt,2,12,6,Real Bed,765.00,200.00,0.00,2.00,25.00,1,19,90,95.00,9.00,10.00,10.00,10.00,10.00,9.00,super_strict_60,1.04
N/A,f,1,28801,Entire home/apt,1,4,2,Real Bed,225.00,250.00,75.00,2.00,25.00,30,29,0,,,,,,,,strict_14_with_grace_period,
N/A,f,11,28801,Private room,1.5,2,1,Real Bed,77.00,150.00,35.00,1.00,20.00,1,26,48,92.00,9.00,9.00,9.00,9.00,10.00,9.00,strict_14_with_grace_period,0.53
100%,f,2,28801,Entire home/apt,1,2,1,Real Bed,75.00,0.00,0.00,2.00,0.00,3,0,83,90.00,9.00,9.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,0.96
N/A,f,1,28801,Private room,2.5,6,3,Real Bed,220.00,,75.00,1.00,15.00,30,30,3,100.00,9.00,10.00,10.00,9.00,9.00,10.00,strict_14_with_grace_period,0.04
N/A,f,7,28806,Entire home/apt,1,2,1,Real Bed,107.00,0.00,15.00,2.00,12.00,1,15,179,88.00,9.00,8.00,9.00,9.00,10.00,9.00,moderate,2.04
N/A,f,7,28806,Private room,2.5,2,1,Real Bed,71.00,,,2.00,12.00,1,17,46,88.00,9.00,9.00,10.00,9.00,10.00,9.00,moderate,0.53
N/A,f,7,28806,Shared room,2.5,1,1,Real Bed,26.00,0.00,0.00,1.00,26.00,1,19,192,93.00,10.00,9.00,10.00,10.00,9.00,10.00,moderate,2.21
N/A,f,1,28801,Private room,1,2,1,Real Bed,125.00,300.00,30.00,1.00,50.00,30,30,58,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.66
100%,f,1,28804,Entire home/apt,1,4,2,Real Bed,134.00,250.00,45.00,2.00,10.00,30,1,52,97.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,0.6
100%,t,1,28806,Private room,1,3,2,Real Bed,58.00,100.00,25.00,1.00,18.00,2,16,113,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.45
89%,f,2,28805,Private room,1,2,1,Real Bed,65.00,250.00,65.00,1.00,15.00,3,25,51,94.00,9.00,9.00,10.00,9.00,9.00,9.00,strict_14_with_grace_period,0.61
92%,f,3,28803,Private room,1.5,2,1,Real Bed,60.00,0.00,0.00,1.00,0.00,2,11,59,88.00,9.00,8.00,9.00,9.00,9.00,9.00,strict_14_with_grace_period,0.77
100%,t,2,28805,Entire home/apt,1,2,1,Real Bed,68.00,0.00,25.00,2.00,10.00,2,4,407,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.87
100%,t,3,28803,Entire home/apt,1.5,2,1,Real Bed,60.00,100.00,40.00,1.00,0.00,2,8,198,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,5.31
100%,t,5,28806,Entire home/apt,1,4,2,Real Bed,100.00,200.00,50.00,1.00,0.00,2,0,35,91.00,9.00,10.00,10.00,10.00,8.00,9.00,moderate,0.45
100%,t,5,28801,Entire home/apt,1,2,1,Real Bed,250.00,500.00,50.00,1.00,0.00,2,18,155,100.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,2.01
N/A,f,1,28803,Entire home/apt,1,2,1,Real Bed,50.00,300.00,50.00,1.00,0.00,28,0,30,93.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.36
86%,t,2,28804,Entire home/apt,1,4,2,Pull-out Sofa,279.00,0.00,89.00,4.00,50.00,30,30,23,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.29
100%,t,3,28803,Entire home/apt,1,2,2,Real Bed,100.00,100.00,50.00,2.00,10.00,2,2,100,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.03
100%,t,2,28806,Entire home/apt,1,4,2,Real Bed,76.00,,35.00,2.00,15.00,1,13,424,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,6.77
100%,f,1,28803,Entire home/apt,1,2,1,Real Bed,125.00,0.00,50.00,1.00,0.00,2,12,34,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.47
100%,t,4,28801,Private room,2,2,1,Real Bed,115.00,250.00,25.00,2.00,25.00,2,26,86,94.00,10.00,10.00,10.00,10.00,8.00,9.00,strict_14_with_grace_period,1.1
100%,t,1,28801,Entire home/apt,1.5,2,1,Real Bed,119.00,200.00,50.00,2.00,0.00,2,13,258,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.33
100%,t,1,28806,Entire home/apt,1,3,2,Real Bed,95.00,100.00,25.00,2.00,20.00,1,6,296,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,6
100%,t,3,28801,Private room,1,2,1,Real Bed,95.00,200.00,25.00,2.00,20.00,1,18,256,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.33
100%,f,1,28801,Entire home/apt,1,2,1,Real Bed,47.00,150.00,60.00,2.00,0.00,30,15,129,95.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.67
100%,f,2,28803,Private room,1,2,1,Real Bed,50.00,100.00,20.00,1.00,0.00,2,19,164,93.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.15
N/A,f,2,28806,Entire home/apt,2,4,2,Real Bed,130.00,1000.00,150.00,2.00,5.00,30,0,67,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.89
100%,t,1,28801,Entire home/apt,1,2,1,Real Bed,135.00,160.00,50.00,2.00,0.00,1,13,28,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.98
N/A,f,1,28805,Entire home/apt,1.5,4,2,Real Bed,155.00,200.00,0.00,4.00,23.00,3,21,29,99.00,10.00,10.00,10.00,10.00,9.00,10.00,strict_14_with_grace_period,0.4
N/A,t,2,28806,Entire home/apt,1,4,2,Real Bed,119.00,100.00,100.00,2.00,10.00,5,0,8,91.00,9.00,9.00,10.00,10.00,9.00,9.00,strict_14_with_grace_period,0.14
100%,f,2,28803,Private room,1,1,1,Real Bed,30.00,100.00,20.00,1.00,0.00,2,8,116,96.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.55
100%,f,1,28804,Entire home/apt,1,6,1,Real Bed,75.00,0.00,20.00,2.00,30.00,1,21,212,91.00,10.00,9.00,10.00,10.00,10.00,9.00,moderate,6.51
100%,f,3,28805,Private room,1,2,1,Real Bed,49.00,0.00,20.00,2.00,0.00,2,14,145,92.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.18
100%,t,5,28801,Entire home/apt,1,2,1,Real Bed,45.00,300.00,75.00,1.00,0.00,30,0,14,95.00,9.00,9.00,10.00,9.00,10.00,9.00,strict_14_with_grace_period,0.19
100%,t,2,28801,Private room,1,2,1,Real Bed,49.00,100.00,15.00,1.00,10.00,1,8,762,92.00,9.00,9.00,10.00,10.00,9.00,9.00,moderate,10.35
96%,f,1,28801,Entire home/apt,2,4,2,Real Bed,250.00,,,1.00,0.00,1,21,318,94.00,10.00,9.00,10.00,10.00,10.00,9.00,flexible,4.32
100%,t,12,28801,Entire home/apt,1,8,4,Real Bed,309.00,200.00,0.00,2.00,25.00,1,21,51,96.00,10.00,10.00,10.00,10.00,10.00,9.00,super_strict_60,0.7
N/A,f,2,28801,Private room,1,2,2,Real Bed,175.00,0.00,0.00,2.00,18.00,2,15,3,80.00,9.00,9.00,8.00,8.00,9.00,8.00,strict_14_with_grace_period,0.06
100%,t,1,28806,Entire home/apt,2.5,5,4,Real Bed,99.00,250.00,75.00,2.00,35.00,1,4,95,98.00,10.00,9.00,10.00,10.00,10.00,10.00,moderate,1.42
100%,t,2,28801,Entire home/apt,2,4,2,Real Bed,224.00,600.00,120.00,2.00,25.00,2,12,287,100.00,10.00,10.00,10.00,10.00,9.00,10.00,strict_14_with_grace_period,4.07
N/A,f,1,28804,Entire home/apt,1.5,6,4,Real Bed,137.00,300.00,27.00,1.00,0.00,2,25,85,94.00,10.00,9.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,1.26
100%,f,1,28805,Private room,1,2,1,Real Bed,65.00,,,1.00,0.00,1,18,36,88.00,9.00,8.00,10.00,10.00,9.00,9.00,flexible,0.56
100%,t,0,28806,Entire home/apt,1,2,1,Real Bed,95.00,100.00,20.00,1.00,0.00,3,2,407,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,6.64
100%,t,1,28806,Private room,1,2,1,Real Bed,62.00,100.00,20.00,1.00,10.00,1,16,384,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,5.64
100%,f,1,,Entire home/apt,2,6,2,Real Bed,200.00,1500.00,150.00,4.00,25.00,2,10,81,93.00,10.00,9.00,10.00,9.00,10.00,9.00,strict_14_with_grace_period,1.24
100%,t,1,28801,Private room,1,2,1,Real Bed,115.00,150.00,20.00,1.00,10.00,3,10,128,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.92
100%,t,1,28803,Entire home/apt,1,2,1,Real Bed,145.00,150.00,,1.00,10.00,2,22,152,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,2.25
100%,f,1,28804,Entire home/apt,1,2,1,Real Bed,130.00,300.00,95.00,2.00,0.00,30,3,73,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.1
