host_response_rate,host_is_superhost,host_listings_count,zipcode,room_type,bathrooms,accommodates,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month,has_reviews,reviews_per_month.1,log.reviews_per_month,review_scores_rating.1,log.review_scores_rating,review_score_value.1,log.review_scores_value,review_scores_location.1,log.review_scores_location,review_scores_communication.1,log.review_scores_communication,review_scores_checkin.1,log.review_scores_checkin,review_scores_accuracy.1,log.review_scores_accuracy,review_scores_cleanliness.1,log.review_scores_cleanliness,number_of_reviews.1,log.number_of_reviews,inzip28801,inzip28804
100%,t,1,28804,Private room,1,2,2,Real Bed,55,150,0,1,20,2,10,116,96,10,10,10,10,9,10,moderate,1.2,1,2.2,0.7884573603642703,97,4.574710978503383,11,2.3978952727983707,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,117,4.762173934797756,no,yes
100%,t,12,28801,Entire home/apt,2,12,6,Real Bed,765,200,0,2,25,1,19,90,95,9,10,10,10,10,9,super_strict_60,1.04,1,2.04,0.712949807856125,96,4.564348191467836,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,10,2.302585092994046,11,2.3978952727983707,91,4.51085950651685,yes,no
N/A,f,1,28801,Entire home/apt,1,4,2,Real Bed,225,250,75,2,25,30,29,0,0,0,0,0,0,0,0,strict_14_with_grace_period,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,yes,no
N/A,f,11,28801,Private room,1.5,2,1,Real Bed,77,150,35,1,20,1,26,48,92,9,9,9,9,10,9,strict_14_with_grace_period,0.53,1,1.53,0.4252677354043441,93,4.532599493153256,10,2.302585092994046,11,2.3978952727983707,10,2.302585092994046,10,2.302585092994046,10,2.302585092994046,10,2.302585092994046,49,3.8918202981106265,yes,no
100%,f,2,28801,Entire home/apt,1,2,1,Real Bed,75,0,0,2,0,3,0,83,90,9,9,10,10,10,9,strict_14_with_grace_period,0.96,1,1.96,0.6729444732424258,91,4.51085950651685,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,10,2.302585092994046,10,2.302585092994046,84,4.430816798843313,yes,no
N/A,f,1,28801,Private room,2.5,6,3,Real Bed,220,0,75,1,15,30,30,3,100,9,10,10,9,9,10,strict_14_with_grace_period,0.04,1,1.04,0.03922071315328133,101,4.61512051684126,11,2.3978952727983707,10,2.302585092994046,10,2.302585092994046,11,2.3978952727983707,10,2.302585092994046,11,2.3978952727983707,4,1.3862943611198906,yes,no
N/A,f,7,28806,Entire home/apt,1,2,1,Real Bed,107,0,15,2,12,1,15,179,88,9,8,9,9,10,9,moderate,2.04,1,3.04,1.1118575154181303,89,4.48863636973214,10,2.302585092994046,11,2.3978952727983707,10,2.302585092994046,10,2.302585092994046,10,2.302585092994046,9,2.1972245773362196,180,5.19295685089021,no,no
N/A,f,7,28806,Private room,2.5,2,1,Real Bed,71,0,0,2,12,1,17,46,88,9,9,10,9,10,9,moderate,0.53,1,1.53,0.4252677354043441,89,4.48863636973214,10,2.302585092994046,11,2.3978952727983707,10,2.302585092994046,11,2.3978952727983707,10,2.302585092994046,10,2.302585092994046,47,3.8501476017100584,no,no
N/A,f,7,28806,Shared room,2.5,1,1,Real Bed,26,0,0,1,26,1,19,192,93,10,9,10,10,9,10,moderate,2.21,1,3.21,1.1662709371419244,94,4.543294782270004,11,2.3978952727983707,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,10,2.302585092994046,193,5.262690188904886,no,no
N/A,f,1,28801,Private room,1,2,1,Real Bed,125,300,30,1,50,30,30,58,99,10,10,10,10,10,10,moderate,0.66,1,1.6600000000000001,0.506817602368452,100,4.605170185988092,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,59,4.07753744390572,yes,no
100%,f,1,28804,Entire home/apt,1,4,2,Real Bed,134,250,45,2,10,30,1,52,97,10,10,10,10,10,9,strict_14_with_grace_period,0.6,1,1.6,0.47000362924573563,98,4.584967478670572,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,53,3.970291913552122,no,yes
100%,t,1,28806,Private room,1,3,2,Real Bed,58,100,25,1,18,2,16,113,97,10,10,10,10,10,10,moderate,1.45,1,2.45,0.8960880245566357,98,4.584967478670572,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,114,4.736198448394496,no,no
89%,f,2,28805,Private room,1,2,1,Real Bed,65,250,65,1,15,3,25,51,94,9,9,10,9,9,9,strict_14_with_grace_period,0.61,1,1.6099999999999999,0.47623417899637155,95,4.553876891600541,10,2.302585092994046,10,2.302585092994046,10,2.302585092994046,11,2.3978952727983707,10,2.302585092994046,10,2.302585092994046,52,3.9512437185814275,no,no
92%,f,3,28803,Private room,1.5,2,1,Real Bed,60,0,0,1,0,2,11,59,88,9,8,9,9,9,9,strict_14_with_grace_period,0.77,1,1.77,0.5709795465857378,89,4.48863636973214,10,2.302585092994046,10,2.302585092994046,10,2.302585092994046,10,2.302585092994046,10,2.302585092994046,9,2.1972245773362196,60,4.0943445622221,no,no
100%,t,2,28805,Entire home/apt,1,2,1,Real Bed,68,0,25,2,10,2,4,407,98,10,10,10,10,10,10,moderate,4.87,1,5.87,1.7698546338400052,99,4.59511985013459,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,408,6.0112671744041615,no,no
100%,t,3,28803,Entire home/apt,1.5,2,1,Real Bed,60,100,40,1,0,2,8,198,99,10,10,10,10,10,10,strict_14_with_grace_period,5.31,1,6.31,1.8421356765531218,100,4.605170185988092,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,199,5.293304824724492,no,no
100%,t,5,28806,Entire home/apt,1,4,2,Real Bed,100,200,50,1,0,2,0,35,91,9,10,10,10,8,9,moderate,0.45,1,1.45,0.371563556432483,92,4.5217885770490405,10,2.302585092994046,9,2.1972245773362196,11,2.3978952727983707,11,2.3978952727983707,10,2.302585092994046,11,2.3978952727983707,36,3.58351893845611,no,no
100%,t,5,28801,Entire home/apt,1,2,1,Real Bed,250,500,50,1,0,2,18,155,100,10,10,10,10,10,9,strict_14_with_grace_period,2.01,1,3.01,1.1019400787607843,101,4.61512051684126,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,156,5.049856007249537,yes,no
N/A,f,1,28803,Entire home/apt,1,2,1,Real Bed,50,300,50,1,0,28,0,30,93,10,10,10,10,10,10,strict_14_with_grace_period,0.36,1,1.3599999999999999,0.30748469974796055,94,4.543294782270004,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,31,3.4339872044851463,no,no
86%,t,2,28804,Entire home/apt,1,4,2,Pull-out Sofa,279,0,89,4,50,30,30,23,98,10,10,10,10,10,10,moderate,0.29,1,1.29,0.25464221837358075,99,4.59511985013459,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,24,3.1780538303479458,no,yes
100%,t,3,28803,Entire home/apt,1,2,2,Real Bed,100,100,50,2,10,2,2,100,99,10,10,10,10,10,10,strict_14_with_grace_period,3.03,1,4.029999999999999,1.3937663759585914,100,4.605170185988092,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,101,4.61512051684126,no,no
100%,t,2,28806,Entire home/apt,1,4,2,Real Bed,76,0,35,2,15,1,13,424,97,10,10,10,10,10,10,moderate,6.77,1,7.77,2.050270164379556,98,4.584967478670572,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,425,6.052089168924417,no,no
